STORE_CODE,STORE_NAME,STORE_LINK,STORE_LOCATION,STORE_POSTAL_CODE,MARKET,STORE_CODE_NEW
412,IKEA Bremerhaven,https://www.ikea.com/de/de/stores/bremerhaven/,Bremerhaven,27572,DE,412
502,A Coruña,https://www.ikea.com/es/es/stores/a-coruna/,A Coruña,15008,ES,502
92651,Aberdeen,http://www.ikea.com/gb/en/ikea/aberdeen/,Aberdeen,AB12 3QW,GB,92651
557,Adelaide,https://www.ikea.com/au/en/stores/adelaide/,Adelaide,5950,AU,557
216,Calgary,https://www.ikea.com/ca/en/stores/calgary-store-index-pub60891e39,Alberta,T2H 3B2,CA,216
349,Edmonton,https://www.ikea.com/ca/en/stores/edmonton-store-index-pubd3ff875a,Alberta,T6N 1M3,CA,349
415,Amersfoort,https://www.ikea.com/nl/nl/stores/amersfoort/,Euroweg 101,3825 HB,NL,415
88,Amsterdam,https://www.ikea.com/nl/nl/stores/amsterdam/,Hullenbergweg 2,1101 BL,NL,088
457,IKEA Ancona,https://www.ikea.com/it/it/stores/ancona/,Aspio Terme,60021 ,IT,457
179,IKEA Wilrijk,https://www.ikea.com/be/nl/stores/wilrijk/ ,"Boomsesteenweg 755, 2610 Wilrijk",2610,BE,179
483,IKEA Arlon,https://www.ikea.com/be/fr/stores/arlon/,"Rue de Grass 100, 6700 Arlon",6700,BE,483
257,Atlanta,https://www.ikea.com/us/en/stores/atlanta/,Atlanta,30363,US,257
66,Augsburg,https://www.ikea.com/de/de/stores/augsburg/,Augsburg,86368,DE,066
27,Round Rock,https://www.ikea.com/us/en/stores/round-rock/,Austin TX,78665,US,027
18,Avignon,https://www.ikea.com/fr/fr/stores/avignon/,Avignon,84270,FR,018
152,Baltimore,https://www.ikea.com/us/en/stores/baltimore/,Baltimore MD,21236,US,152
276,Barakaldo,https://www.ikea.com/es/es/stores/barakaldo/,Barakaldo (Bilbao),48902,ES,276
171,Sabadell,https://www.ikea.com/es/es/stores/barcelona-sabadell/,Sabadell (Barcelona),8205,ES,171
280,Badalona,https://www.ikea.com/es/es/stores/barcelona-badalona/,Badalona (Barcelona),8917,ES,280
406,Hospitalet (Gran Vía),https://www.ikea.com/es/es/stores/barcelona-hospitalet/,L'Hospitalet de Llobregat,8908,ES,406
274,Barendrecht,https://www.ikea.com/nl/nl/stores/barendrecht-rotterdam/,Hamburg 1,2993 LG,NL,274
356,IKEA Bari,https://www.ikea.com/it/it/stores/bari/,Bari,70126 ,IT,356
310,Bayonne,https://www.ikea.com/fr/fr/stores/bayonne-ametzondo/,Saint-Pierre-d'Irube,64990 ,FR,310
113,IKEA Belfast,https://www.ikea.com/gb/en/stores/belfast/,Belfast,BT3 9EJ,GB,113
324,Berlin-Lichtenberg,https://www.ikea.com/de/de/stores/berlin-lichtenberg/,Berlin-Lichtenberg,10365,DE,324
394,IKEA Berlin-Spandau,https://www.ikea.com/de/de/stores/berlin-spandau/,Berlin-Spandau,13597,DE,394
421,IKEA Berlin-Tempelhof,https://www.ikea.com/de/de/stores/berlin-tempelhof/,Berlin-Tempelhof,10829,DE,421
129,Berlin-Waltersdorf,https://www.ikea.com/de/de/stores/berlin-waltersdorf/,Berlin-Waltersdorf,12529,DE,129
119,Bielefeld,https://www.ikea.com/de/de/stores/bielefeld/,Bielefeld,33647,DE,119
142,IKEA Wednesbury,https://www.ikea.com/gb/en/stores/birmingham/,Wednesbury,WS10 9SF,GB,142
231,IKEA Bologna ,https://www.ikea.com/it/it/stores/bologna-casalecchio/,Casalecchio di Reno,40033 ,IT,231
134,Bordeaux,https://www.ikea.com/fr/fr/stores/bordeaux/,Bordeaux,33300 ,FR,134
248,IKEA Borlänge,https://www.ikea.com/se/sv/stores/borlange/,Borlänge,78170,SE,248
158,Stoughton,https://www.ikea.com/us/en/stores/stoughton/,Boston,2072,US,158
117,Braunschweig,https://www.ikea.com/de/de/stores/braunschweig/,Braunschweig,38112,DE,117
403,Breda,https://www.ikea.com/nl/nl/stores/breda/,Kruisweide 1,4814 RW,NL,403
228,Brinkum,https://www.ikea.com/de/de/stores/brinkum/,Brinkum,28816,DE,228
